PIBLIQEX
1212.891
1227.311
1195.19
1195.559
1255.168
1243.717
1202.885
1179.343
961.311
934.368
1390.965
1315.032
1444.909
1661.817
1602.507
1673.689
1707.473
1813.578
1830.075
1798.404
1719.215
1805.227
2103.101
1959.877
2226.655
2046.297
2218.343
2219.853
1926.068
2071.977
2100.41
2136.578
2176.08
2217.406
2205.866
2383.52
2480.269
2336.674
2124.727
1999.625
1965.781
1949.983
1966.891
2008.047
2042.339
2130.977
2144.242
2102.244
2060.513
2117.286
1790.815
1837.54
1985.059
2037.504
1721.453
1782.588
1992.259
2003.574
2059.265
2259.661
2277.052
2411.837
2272.465
2209.118
2358.114
2538.454
2546.448
2357.216
2593.177
2694.353
2907.312
3003.615
3210.071
3366.513
3131.451
2938.774
2924.863
3112.977
3106.117
3290.502
3070.943
3062.519
3211.751
3277.108
3139.361
3551.061
2789.44
2836.996
2957.681
2834.633
2910.853
3245.321
3517.957
3510.921
3725.623
3580.973
3669.2
3551.479
3028.789
3165.211
3292.863
3488.807
3375.522
3653.049
3612.446
3987.345
4057.915
4111.076
4262.169
4442.128
3918.663
3852.805
3979.874
4146.189
4486.681
4228.509
4277.023
4424.184
4557.142
4799.966
5165.016
5209.883
3945.987
4468.217
3092.473
4371.096
4436.736
4841.462
4882.501
4638.833
4802.978
5190.56
5024.939
5142.792
4676.009
4203.352
4522.809
4479.341
4394.458
4758.45
4975.046
5664.377
5411.273
5833.324
6031.019
5972.384
5208.157
4698.46
5160.632
5238.023
5676.754
5654.273
6447.331
6254.19
6296.097
6121.733
6518.318
6521.931
4234.26
5379.005
3890.368
3803.307
4123.204
5275.927
5444.256
5054.363
5429.867
5152.667
6364.114
5315.03
4035.216
5406.272
5366.127
6081.942
7081.086
7311.149
7909.302
8787.745
8772.507
8785.258
8435.529
7754.986
6173.319
6024.059
5837.514
6329.385
6999.542
6969.216
7282.475
7831.911
8188.272
7917.69
8571.153
8347.584
6722.283
7031.869
7788.082
8982.643
7861.971
8635.366
8389.459
7688.88
7508.148
7170.023
7507.285
6154
5463.697
5763.536
5073.387
6030.381
5604.326
6749.883
6913.083
6028.215
6554.578
6301.784
8074.232
6058.876
4214.944
3151.857
2237.266
1443.32
3560.91
4710.693
5109.642
5819.187
5488.147
5267.321
