EXPORTMT
80.52
71.46
114.3
130.01
91.84
130.09
203.08
264.14
525.05
600.23
197.23
332.12
266.56
112.72
233.85
223.24
248.78
200.75
241.08
328.33
461.85
428.92
182.88
376.69
159.25
385.95
257.25
296.09
627.23
515.68
518.61
510.81
496.68
477.73
508.65
347.38
264.02
416.1
631.63
755.41
783.03
787.7
754.76
692.67
632.54
513.16
464.25
465.7
461.98
368.48
666.95
600.95
442.88
388.61
711.56
666.05
480.73
502.49
488.6
338.73
380.59
307.16
509.99
638.9
557.57
447
510.88
774.09
614.21
591.22
458.55
444.64
322.68
245.46
554.47
815.82
893.13
763.14
822.85
686.04
947.9
993.35
875.87
836.99
995.94
603.67
1382.95
1351.28
1244.71
1380.1
1314.45
988.78
723.17
735.46
524.24
670.6
582.31
708.46
1248.07
1137.06
1043.31
889.76
1053.93
835.78
944.25
645.71
659.99
700.17
650.91
570.18
1190.27
1350.15
1314.5
1237
982.72
1324.5
1356.99
1288.23
1231.07
1061.44
766.98
790.7
2121.18
1663.53
3101.85
1883.8
1876.73
1528.57
1542.09
1838.32
1724.73
1385.7
1597.87
1532.47
2057.61
2594.53
2345.24
2464.78
2631.64
2355.53
2232.72
1643.08
2001.78
1691.23
1610.94
1771.89
2623.34
3205.17
2800.04
2764.6
2352.73
2386.98
1590.6
1765.33
1689.92
1815.69
1355.42
1311.83
3583.23
2445.92
3965.7
4107.61
3866.27
2815.81
2773.45
3313.02
3110.9
3585.19
2594.54
3845.21
5307.4
4099.51
4283.61
3692.54
2798.93
2655.19
2124.15
1293.61
1337.54
1334.27
1674.27
2353.95
3943.62
4109.75
4322.03
3864.76
3238.07
3320.73
3068.67
2589.3
2311.87
2670.25
2113.45
2426.27
4133.41
3898.25
3209.05
2074.09
3246.95
2518.33
2801.6
3532.13
3735.4
4088.65
3759.1
5122
5823.82
5537.4
6242.87
5303.1
5748.28
4623.75
4483.48
5393.18
4893.55
5174.98
3433.07
5476.42
7345.8
8431.79
9366.74
10178.5
8076.91
6939.12
6550.35
5848.44
6184.57
6407.94
